,Name,N2 Henrys,N2 Henrys err,methane Henrys,methane Henrys err,helium Henrys,helium Henrys err,N2 adsorb,N2 adsorb err,methane adsorb,methane adsorb err,helium adsorb,helium adsorb err
2035,qeflia_P1_charged_H,8.93398e-06,2.44159e-07,0.000112638,4.517e-06,1.91728e-07,4.76394e-10,-18.1251261622,,-27.0373531646,0.1445310807,-2.161059485,0.0030294196
2036,qotkoc01_P1_charged_H,4.45116e-06,4.9992e-08,1.13224e-05,1.62385e-07,9.76968e-07,1.4539e-09,-7.167755792,,-10.8443173002,0.0550902123,-0.7409727,0.0060974686
2037,qovxeg03_P1,2.28404e-05,3.5993e-07,0.000313306,4.51748e-06,1.06344e-07,8.6271e-10,-21.4351928594,,-28.2589778373,0.0294179203,-3.3926073909,0.0126735352
2038,qiyjeo_P1_H,6.11641e-08,6.50733e-10,2.45492e-07,2.66817e-09,1.14112e-08,6.56996e-11,-10.5783654634,,-14.7257933245,0.0412013021,-1.3276315752,0.0057930297
2039,qiyfai_P1_H,9.43939e-06,8.97268e-08,8.59625e-05,2.71438e-06,1.26227e-07,4.30411e-10,-19.7684306426,,-26.2508990417,0.0887314549,-2.6489206277,0.0141853555
2040,qiwboq_P1_charged,3.51204e-06,1.83378e-08,1.3561e-05,1.86936e-07,3.04889e-07,1.09969e-09,-10.3644973746,,-14.6414816017,0.0626248491,-1.4580783511,0.006764981
2041,qatpux04_P1,2.38327e-06,5.51461e-08,1.66106e-05,3.07887e-07,5.07617e-08,2.09033e-10,-17.7674190099,,-22.7263142517,0.0328418355,-2.8833586242,0.0083688053
2042,qipqeo_P1,4.56578e-06,2.41653e-08,2.42776e-05,1.33248e-07,1.65373e-07,6.73472e-10,-12.3689886587,,-16.8020825449,0.0145759992,-1.9716744608,0.0075452981
2043,qotkoc03_P1_charged_H,4.42093e-06,2.48502e-08,1.08506e-05,6.33855e-08,1.04409e-06,1.09609e-09,-6.8654766058,,-10.3595198733,0.0269004375,-0.7011197842,0.0021108056
2044,qowrav02_P1_H,4.86459e-06,3.64565e-08,2.27854e-05,8.55696e-08,3.6881e-07,7.93014e-10,-11.6403578774,,-16.8742975695,0.0342413157,-1.3970059082,0.0075186284
2045,qimfea_P1_charged_H,5.14552e-06,1.79625e-08,2.28003e-05,1.68298e-07,2.6775e-07,9.07577e-10,-11.2640451289,,-15.3724503023,0.0343005285,-1.8341161705,0.0018145977
2046,qivzed_P1,1.22226e-06,9.05866e-09,6.16815e-06,7.58129e-08,7.44338e-08,5.35021e-10,-12.3811877789,,-16.8363943771,0.034748296,-1.8686773903,0.012835437
2047,qocbeq_P1,1.0267e-05,9.90171e-08,8.80946e-05,4.78754e-06,2.13888e-07,6.5979e-10,-16.621672744,,-23.8503890812,0.5677577318,-2.4024902677,0.0045186253
2048,qedjoc_P1,1.9694e-06,3.91221e-09,6.62595e-06,3.67658e-08,1.79925e-07,7.89225e-10,-9.4388670148,,-12.9663949159,0.0252104938,-1.4777759551,0.005898284
2049,qedjes_P1,1.98129e-06,5.98898e-09,6.65373e-06,3.55197e-08,1.80034e-07,4.43948e-10,-9.442984836,,-12.9333262161,0.0287338834,-1.4820619827,0.0062696854
2050,qoypus_P1,2.96202e-06,1.65159e-08,1.56208e-05,1.54614e-07,1.01429e-07,5.59781e-10,-12.3537977914,,-16.7726058232,0.0172905724,-2.0357785368,0.0031690302
2051,qowrav12_P1_H,4.94834e-06,3.42751e-08,2.33361e-05,2.91719e-07,3.652e-07,9.85695e-10,-11.7646681381,,-17.0051150044,0.0368889013,-1.4152387031,0.0078636062
2052,qovxeg02_P1,2.43851e-05,2.93262e-07,0.00035669,1.05635e-05,1.10317e-07,7.54226e-10,-21.2633984092,,-28.2709628603,0.0253214009,-3.3399815627,0.0125998568
